Paper ID	PaperTitle	AuthorNames
3	Improved Generalization Bound and Learning of Sparsity Patterns for Data-Driven Low-Rank Approximation	"Sakaue, Shinsaku*; Oki, Taihei"
8	Meta-Uncertainty in Bayesian Model Comparison	"Schmitt, Marvin*; Radev, Stefan T.; Bürkner, Paul-Christian"
12	PAC Learning of Halfspaces with Malicious Noise in Nearly Linear Time	"Shen, Jie*"
16	Entropic Risk Optimization in Discounted MDPs	"Hau, Jia Lin; Petrik, Marek*; Ghavamzadeh, Mohammad"
17	Acceleration of Frank-Wolfe Algorithms with Open Loop Step-Sizes	"Wirth, Elias S*; Kerdreux, Thomas; Pokutta, Sebastian"
18	An Online and Unified Algorithm for Projection Matrix Vector Multiplication with Application to Empirical Risk Minimization	"Qin, Lianke; Song, Zhao; Zhang, Lichen*; Zhuo, Danyang"
25	Leveraging Instance Features for Label Aggregation in Programmatic Weak Supervision	"Zhang, Jieyu*; Song, Linxin; Ratner, Alex"
27	Stochastic Gradient Descent-Ascent: Unified Theory and New Efficient Methods	"Beznosikov, Aleksandr*; Gorbunov, Eduard; Berard, Hugo; Loizou, Nicolas"
30	Scalable marked point processes for exchangeable and non-exchangeable event sequences	"Panos, Aristeidis*; Kosmidis, Ioannis; Dellaportas, Petros"
34	Bayesian Variable Selection in a Million Dimensions	"Jankowiak, Martin*"
44	Blessing of Class Diversity in Pre-training	"Zhao, Yulai*; Chen, Jianshu; Du, Simon"
61	Barlow Graph Auto-Encoder for Unsupervised Network Embedding	"Khan, RayyanAhmad*; Kleinsteuber, Martin"
63	Gradient-Informed Neural Network Statistical Robustness Estimation	"TIT, Karim*; Furon, Teddy; Rousset, Mathias"
65	Online Defense Strategies for Reinforcement Learning Against Adaptive Reward Poisoning	"Nika, Andi*; Singla, Adish; Radanovic, Goran"
68	A Case of Exponential Convergence Rates for SVM	"Cabannnes, Vivien A; Vigogna, Stefano*"
71	Finding Regularized Competitive Equilibria of Heterogeneous Agent Macroeconomic Models via Reinforcement Learning	"Xu, Ruitu*; Min, Yifei; Wang, Tianhao; Jordan, Michael; Wang, Zhaoran; Yang, Zhuoran"
82	Adaptive Cholesky Gaussian Processes	"Bartels, Simon*; Stensbo-Smidt, Kristoffer; Moreno-Munoz, Pablo; Boomsma, Wouter Krogh; Frellsen, Jes; Hauberg, Soren"
83	Sample Complexity of Kernel-Based Q-Learning	"Yeh, Sing-Yuan; Chang, Fu-Chieh*; Yueh, Chang-Wei; Wu, Pei-Yuan; Bernacchia, Alberto; Vakili, Sattar"
87	A principled framework for the design and analysis of token algorithms	"Hendrikx, Hadrien*"
96	Learning k-qubit Quantum Operators via Pauli Decomposition	"Heidari, Mohsen*; Szpankowski, Wojciech"
102	Semi-Verified PAC Learning from the Crowd	"Zeng, Shiwei; Shen, Jie*"
104	On the Capacity Limits of Privileged ERM	"Sharoni, Michal; Sabato, Sivan*"
