FirstName	MiddleInitial	LastName
Aapo		Hyvarinen
Aaron	J	Schein
Abdeslam		Boularias
Abolfazl		Hashemi
Aldo	 	Pacchiano
Alex	 	Thiery
Alexander		Terenin
Ali		Vakilian
Amartya		Sanyal
Ameya		Velingker
Anant		Raj
Anastasios		Kyrillidis
Andreas		Damianou
Andres	R	Masegosa
Anna		Choromanska
Antonio		Artés Rodríguez
Antti		Honkela
Ardhendu	S	Tripathy
Arno		Solin
Atilim Gunes	 	Baydin
Aurélien		Bellet
Aymeric		Dieuleveut
Azarakhsh		Jalalvand
Baptiste		Goujaud
Ben		Adlam
Benjamin	 	Guedj
Bharath	 	Sriperumbudur
Boyu	 	Wang
Bryan Kian Hsiang		Low
Cameron		Freer
Carlo		D'Eramo
Cassio	 	de Campos
Cem		Tekin
Changjian		Shui
Chen		Gong
Cheng		Zhang
Chris		Oates
Chris		Williams
Christos	 	Dimitrakakis
Cong		Shen
Danica	J.	Sutherland
Daniel		Hernandez-Lobato
Daniel	 	Reichman
David		Eriksson
David	 	Ginsbourger
David		Pfau
Dennis		Wei
Denny		Wu
Dileep		Kalathil
Erik	B	Sudderth
Eytan		Bakshy
Fengxiang		He
Feras	 	Saad
Florian		Tramer
Francesco		Orabona
Francois	 	Caron
Fredrik	 	Lindsten
Geoffrey		Wolfer
Gilles	 	Louppe
Guojun		Zhang
Guy		Van den Broeck
Hassan	 	Ashtiani
Hironori		Fujisawa
Hoi-To	 	Wai
Hongyang	R	Zhang
Hossein		Azizpour
Jakub	M	Tomczak
James	 	McInerney
Jason	Q	Xu
Jeremias 	 	Knoblauch
Jeremy	 	Manning
Jes	 	Frellsen
Jia-Jie		Zhu
Jiankai		Sun
Jiaxin		Shi
Jin	 	Tian
Ju		Sun
Juba		Ziani
Junpei		Komiyama
Karan	 	Singh
Karen		Ullrich
Krishna		Balasubramanian
Kuldeep S		Meel
Kun		Zhang
Lam	M	Nguyen
Laura		Balzano
Lennart		Svensson
Lin	 	Yang
Liping		Liu
Maggie		Makar
Magnus		Rattray
Makoto		Yamada
Manuel		Gomez Rodriguez
Marcello	 	Restelli
Marek	 	Petrik
Maria	I	Gorinova
Mark		Rowland
Matthew	D	Hoffman
Matthias		Bauer
Mauricio	A	Álvarez
Maurizio		Filippone
Meisam	 	Razaviyayn
Michael		Shvartsman
Michalis	 	Titsias
Mingzhang		Yin
Minh		Ha Quang
Mladen		Kolar
Morgane		Austern
Motonobu	 	Kanagawa
Nathan		Kallus
Nhat		Ho
Niklas		Pfister
Nikunj		Oza
Ning		Yu
Ole	 	Winther
Omar		Rivasplata
Onno	 	Zoeter
Pablo	 	Moreno
Pablo		Olmos
Patrick		Forré
Patrick		Shafto
Peter		Kairouz
Prasanna		Sattigeri
Priyank		Jaini
Qiang	 	Sun
Qibin	 	Zhao
Quanquan		Gu
Quentin	 	Berthet
Rakshith Sharma		Srinivasa
Razvan		Pascanu
Ruoyu		Sun
Salar		Fattahi
Samet		Oymak
Sanjay		Purushotham
Sanjoy		Dasgupta
Sashank		Reddi
Sathya		Ravi
Sayan	 	Mukherjee
Scott	 	Linderman
Sebastian		Weichwald
Shinichi		Nakajima
Simo	 	Särkkä
Snigdhansu		Chatterjee
Stefano		Teso
Sungsoo	 	Ahn
Surbhi	 	Goel
Taha	 	Bahadori
Taiji		Suzuki
Takafumi		Kanamori
Theofanis		Karaletsos
Tianyi		Chen
Tim G. J.		Rudner
Venkatesh Babu		RADHAKRISHNAN
Victor	 	Veitch
Vikas		Raunak
Vu		Nguyen
Wesley		Tansey
Xiang		Zhang
Yanan	 	Sui
Yaoyao		Liu
Yifan	 	Sun
Yiming		Ying
Yingzhen	 	Li
Yoshinobu		Kawahara
Yu		Bai
Yun		Yang
Yu-Xiang		Wang
Zelda		Mariet
Zenna	 	Tavares
Zi		Wang
Zitao		Liu
Ziwei		Liu
